lambda = 0.25, R^2 = 0.9802001342231109
lambda = 0.5, R^2 = 0.9802001342231109
lambda = 0.75, R^2 = 0.9802001342231109
lambda = 1.0, R^2 = 0.9802001342231109
lambda = 1.25, R^2 = 0.98020013422311
lambda = 1.5, R^2 = 0.9802001342231109
lambda = 1.75, R^2 = 0.9802001342231114
lambda = 2.0, R^2 = 0.9802001342231109
lambda = 2.25, R^2 = 0.9802001342231107
lambda = 2.5, R^2 = 0.98020013422311
lambda = 2.75, R^2 = 0.9802001342231109
lambda = 3.0, R^2 = 0.9802001342231109
lambda = 3.25, R^2 = 0.9802001342231105
lambda = 3.5, R^2 = 0.9802001342231114
lambda = 3.75, R^2 = 0.9802001342231111
lambda = 4.0, R^2 = 0.9802001342231109
lambda = 4.25, R^2 = 0.9802001342231107
lambda = 4.5, R^2 = 0.9802001342231107
lambda = 4.75, R^2 = 0.9802001342231111
lambda = 5.0, R^2 = 0.98020013422311
lambda = 5.25, R^2 = 0.9802001342231111
lambda = 5.5, R^2 = 0.9802001342231109
lambda = 5.75, R^2 = 0.9802001342231114
lambda = 6.0, R^2 = 0.9802001342231109
lambda = 6.25, R^2 = 0.9802001342231109
lambda = 6.5, R^2 = 0.9802001342231105
lambda = 6.75, R^2 = 0.9802001342231109
lambda = 7.0, R^2 = 0.9802001342231114
lambda = 7.25, R^2 = 0.9802001342231114
lambda = 7.5, R^2 = 0.9802001342231111
lambda = 7.75, R^2 = 0.9802001342231109
lambda = 8.0, R^2 = 0.9802001342231109
lambda = 8.25, R^2 = 0.9802001342231109
lambda = 8.5, R^2 = 0.9802001342231107
lambda = 8.75, R^2 = 0.9802001342231109
lambda = 9.0, R^2 = 0.9802001342231107
lambda = 9.25, R^2 = 0.9802001342231105
lambda = 9.5, R^2 = 0.9802001342231111
lambda = 9.75, R^2 = 0.9802001342231114
lambda = 10.0, R^2 = 0.98020013422311
lambda = 10.25, R^2 = 0.9802001342231111
lambda = 10.5, R^2 = 0.9802001342231111
lambda = 10.75, R^2 = 0.9802001342231118
lambda = 11.0, R^2 = 0.9802001342231109
lambda = 11.25, R^2 = 0.98020013422311
lambda = 11.5, R^2 = 0.9802001342231114
lambda = 11.75, R^2 = 0.9802001342231107
lambda = 12.0, R^2 = 0.9802001342231109
lambda = 12.25, R^2 = 0.98020013422311
lambda = 12.5, R^2 = 0.9802001342231109
lambda = 12.75, R^2 = 0.98020013422311
lambda = 13.0, R^2 = 0.9802001342231105
lambda = 13.25, R^2 = 0.9802001342231123
lambda = 13.5, R^2 = 0.9802001342231109
lambda = 13.75, R^2 = 0.9802001342231111
lambda = 14.0, R^2 = 0.9802001342231114
lambda = 14.25, R^2 = 0.9802001342231118
lambda = 14.5, R^2 = 0.9802001342231114
lambda = 14.75, R^2 = 0.9802001342231103
lambda = 15.0, R^2 = 0.9802001342231111
lambda = 15.25, R^2 = 0.9802001342231107
lambda = 15.5, R^2 = 0.9802001342231109
lambda = 15.75, R^2 = 0.9802001342231107
lambda = 16.0, R^2 = 0.9802001342231109
lambda = 16.25, R^2 = 0.98020013422311
lambda = 16.5, R^2 = 0.9802001342231109
lambda = 16.75, R^2 = 0.9802001342231105
lambda = 17.0, R^2 = 0.9802001342231107
lambda = 17.25, R^2 = 0.9802001342231107
lambda = 17.5, R^2 = 0.9802001342231109
lambda = 17.75, R^2 = 0.9802001342231107
lambda = 18.0, R^2 = 0.9802001342231107
lambda = 18.25, R^2 = 0.98020013422311
lambda = 18.5, R^2 = 0.9802001342231105
lambda = 18.75, R^2 = 0.9802001342231098
lambda = 19.0, R^2 = 0.9802001342231111
lambda = 19.25, R^2 = 0.9802001342231114
lambda = 19.5, R^2 = 0.9802001342231114
lambda = 19.75, R^2 = 0.9802001342231107
lambda = 20.0, R^2 = 0.98020013422311
lambda = 20.25, R^2 = 0.9802001342231103
lambda = 20.5, R^2 = 0.9802001342231111
lambda = 20.75, R^2 = 0.9802001342231116
lambda = 21.0, R^2 = 0.9802001342231111
lambda = 21.25, R^2 = 0.9802001342231098
lambda = 21.5, R^2 = 0.9802001342231118
lambda = 21.75, R^2 = 0.9802001342231105
lambda = 22.0, R^2 = 0.9802001342231109
lambda = 22.25, R^2 = 0.9802001342231114
lambda = 22.5, R^2 = 0.98020013422311
lambda = 22.75, R^2 = 0.9802001342231109
lambda = 23.0, R^2 = 0.9802001342231114
lambda = 23.25, R^2 = 0.9802001342231107
lambda = 23.5, R^2 = 0.9802001342231107
lambda = 23.75, R^2 = 0.98020013422311
lambda = 24.0, R^2 = 0.9802001342231109
lambda = 24.25, R^2 = 0.9802001342231111
lambda = 24.5, R^2 = 0.98020013422311
lambda = 24.75, R^2 = 0.9802001342231103
